nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
AB2S,,,a contacter,,,,,,,,,,,,securite,,TOULOUSE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807479910,80747991000034,80.10Z,,,,,,,,,,,sirene,
ABAX AGS,,,a contacter,,,,,,,,,,,,securite,,VERT,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379709884,37970988400140,80.10Z,,,,,,,,,,,sirene,
ABC SECURITA,,,a contacter,,,,,,,,,,,,securite,,FURIANI,,2B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538791047,53879104700029,80.10Z,,,,,,,,,,,sirene,
ABC SECURITE GRENOBLE,,,a contacter,,,,,,,,,,,,securite,,SEYSSINS,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,922149737,92214973700020,80.10Z,,,,,,,,,,,sirene,
ABC SECURITE OUEST,,,a contacter,,,,,,,,,,,,securite,,LAVAL,,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,880552864,88055286400030,80.10Z,,,,,,,,,,,sirene,
ABCT SECURITE,,,a contacter,,,,,,,,,,,,securite,,LA COURONNE,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,911545044,91154504400016,80.10Z,,,,,,,,,,,sirene,
ABDLSECURITE,,,a contacter,,,,,,,,,,,,securite,,MARSEILLE,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,853986883,85398688300033,80.10Z,,,,,,,,,,,sirene,
ABH SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,ROSNY-SOUS-BOIS,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525267217,52526721700020,80.10Z,,,,,,,,,,,sirene,
ABIS EVENTS,,,a contacter,,,,,,,,,,,,securite,,PORTET-SUR-GARONNE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,913013181,91301318100015,80.20Z,,,,,,,,,,,sirene,
ABIS SECURITY,,,a contacter,,,,,,,,,,,,securite,,PORTET-SUR-GARONNE,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480186527,48018652700028,80.10Z,,,,,,,,,,,sirene,
ABK PROTECTION,,,a contacter,,,,,,,,,,,,securite,,LESQUIN,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790657092,79065709200041,80.10Z,,,,,,,,,,,sirene,
ABSCISSE SECURITE PRIVEE,,,a contacter,,,,,,,,,,,,securite,,VENISSIEUX,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,483281564,48328156400060,80.10Z,,,,,,,,,,,sirene,
