nom,tier,score,statut,date_contact,canal,date_relance,notes,produit,montant_vendu,date_vente,paye,montant_encaisse,commission,statut_livraison,type,libelle,commune,cp,departement,telephone,email,email_status,dirigeant,qualite,raisons,lien_pappers,lien_annuaire,lien_maps,lien_google,lien_linkedin_rech,lien_pagesjaunes,lien_societe,lien_trustpilot,linkedin,domain,effectif,categorie,nb_etablissements_ouverts,nb_etablissements,ca,resultat_net,annee_finances,anciennete,date_creation,nature_juridique,labels,idcc,tva_intra,etat,siren,siret,naf,adresse,latitude,longitude,email_source,email_perso,autres_emails,autres_dirigeants,a_site,web_fait,date_enrichi,source,ville
A.D.S.59 AIR DECONTAMINATION SERVICES,,,a contacter,,,,,,,,,,,,proprete,,HARNES,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,511066722,51106672200014,81.21Z,,,,,,,,,,,sirene,
A.E SONIT,,,a contacter,,,,,,,,,,,,proprete,,CORMONTREUIL,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451451066,45145106600034,81.21Z,,,,,,,,,,,sirene,
A.E.C PROPRETE,,,a contacter,,,,,,,,,,,,proprete,,VILLEURBANNE,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,794223057,79422305700025,81.21Z,,,,,,,,,,,sirene,
A.FOFANA,,,a contacter,,,,,,,,,,,,proprete,,PARIS,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,832423354,83242335400014,81.21Z,,,,,,,,,,,sirene,
A.G.E.V. SOLUTIONS,,,a contacter,,,,,,,,,,,,proprete,,CHOLET,,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831609656,83160965600028,81.30Z,,,,,,,,,,,sirene,
A.J. NET,,,a contacter,,,,,,,,,,,,proprete,,GAP,,05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,915070106,91507010600017,81.21Z,,,,,,,,,,,sirene,
A.J.I.R.E,,,a contacter,,,,,,,,,,,,proprete,,ROANNE,,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411982861,41198286100030,81.30Z,,,,,,,,,,,sirene,
A.M.S,,,a contacter,,,,,,,,,,,,proprete,,EPINAY-SOUS-SENART,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,442123212,44212321200023,81.21Z,,,,,,,,,,,sirene,
A.P. NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,NEUVILLE-SUR-SAONE,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,798134219,79813421900020,81.21Z,,,,,,,,,,,sirene,
A.P.ENVIRONNEMENT,,,a contacter,,,,,,,,,,,,proprete,,BAGNOLET,,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418406849,41840684900038,81.30Z,,,,,,,,,,,sirene,
A.P.SERVICES,,,a contacter,,,,,,,,,,,,proprete,,LA GRANDE-MOTTE,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,518676796,51867679600023,81.21Z,,,,,,,,,,,sirene,
A.R.A. NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,CALUIRE-ET-CUIRE,,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,834002891,83400289100010,81.21Z,,,,,,,,,,,sirene,
A.R.E.S.,,,a contacter,,,,,,,,,,,,proprete,,CAORCHES-SAINT-NICOLAS,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,403829815,40382981500030,81.21Z,,,,,,,,,,,sirene,
A.R.S NETTOYAGE,,,a contacter,,,,,,,,,,,,proprete,,BOIS-D'ARCY,,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,789509056,78950905600014,81.21Z,,,,,,,,,,,sirene,
A.S PROPRETE DE SERVICES,,,a contacter,,,,,,,,,,,,proprete,,LILLE,,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,802883686,80288368600015,81.21Z,,,,,,,,,,,sirene,
A.S.G. CLEAN,,,a contacter,,,,,,,,,,,,proprete,,LA QUEUE-EN-BRIE,,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,879084143,87908414300038,81.21Z,,,,,,,,,,,sirene,
A.S.P.,,,a contacter,,,,,,,,,,,,proprete,,MONTIGNY-LES-CORMEILLES,,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,831322151,83132215100018,81.21Z,,,,,,,,,,,sirene,
